DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2014-02-14;13:58:00;VIALE LA PLAIA;sn;PORTO MOLO S.AGOSTINO;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-14;14:13:00;ASSE MEDIANO DI SCORRIMENTO;sn;VIA DEGLI ANCARANI;Incidente stradale con feriti;Frontale / laterale;2;2;1;2;0;0;0
2014-02-14;15:57:00;LUNGOMARE POETTO (BRETELLA OSPEDALE MARINO);sn;;Incidente stradale con feriti;Frontale / laterale;2;1;1;2;0;0;0
2014-02-14;18:27:00;VIA GUADAZZONIS;sn;;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0
2014-02-15;00:55:00;VIA SASSARI;sn;PIAZZA DEL CARMINE;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;1;0;0;0;0
2014-02-15;11:55:00;VIA IS MIRRIONIS;sn;PIAZZA D`ARMI;Incidente stradale con feriti;Investimento di pedone;1;0;2;0;1;0;0
2014-02-15;17:16:00;VIA RIVA VILLASANTA;79;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-02-15;17:49:00;VIA PETRARCA;sn;VIA CAVALCANTI;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0
2014-02-15;18:05:00;VIA CADELLO;sn;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0
2014-02-17;08:31:00;ROTATORIA CADELLO;sn;VIA S.MARIA CHIARA;Incidente stradale con feriti;Tamponamento;3;0;3;1;0;0;0
2014-02-17;10:13:00;ASSE MEDIANO DI SCORRIMENTO;sn;;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0
2014-02-17;13:48:00;ROTATORIA IS PONTIS PARIS;sn;;Incidente stradale con feriti;Tamponamento;6;4;4;4;1;0;0
2014-02-17;17:01:00;VIA BERLINO;sn;VIA LIONE;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-17;17:21:00;VIA CADELLO;sn;VIA S.MARIA CHIARA;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-17;17:44:00;VIALE COLOMBO;sn;VIA CABOTO;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0
2014-02-17;18:23:00;VIA MESSINA;37;;Incidente stradale senza feriti;Danneggiamento auto in sosta;2;0;0;0;0;0;0
2014-02-17;19:04:00;PIAZZA SAN BENEDETTO;sn;VIA MANZONI;Incidente stradale senza feriti;Danneggiamento auto in sosta;2;1;0;0;0;0;0
2014-02-17;20:02:00;VIA GHERARDO DELLE NOTTI;sn;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-02-18;12:06:00;VIALE FERRARA;sn;;Danneggiamento;Ramo su auto;1;1;0;0;0;0;0
2014-02-18;12:49:00;PIAZZA MADRE TERESA DI CALCUTTA;sn;;Incidente stradale senza feriti;Immissione nel flusso della circolazione;2;2;0;0;0;0;0
2014-02-18;13:12:00;VIA SAURO;11;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0
2014-02-18;16:45:00;VIA ANGIOY;sn;VIA CRISPI;Incidente stradale senza feriti;Urto con veicolo in sosta;4;1;0;0;0;0;0
2014-02-19;09:42:00;VIA IS MIRRIONIS;152;;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0
2014-02-19;13:05:00;VIA HERMADA;sn;VIA MONTE GRAPPA;Incidente stradale con feriti;Frontale / laterale;2;1;1;0;1;0;0
2014-02-19;14:22:00;VIA S.MARIA CHIARA;sn;VIA CALAMATTIA;Incidente stradale senza feriti;Uscita x sbandamento;2;1;0;0;0;0;0
2014-02-19;14:09:00;VIA BESTA;sn;;Incidente stradale senza feriti;Urto con veicolo in sosta;5;0;0;0;0;0;0
2014-02-19;21:29:00;VIA ROMA;sn;LARGO CARLO FELICE;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;0;1;0;0;0;0
2014-02-20;11:45:00;VIA DEI DONORATICO;sn;VIA CAPULA;Incidente stradale senza feriti;Frontale / laterale;2;0;2;0;0;0;0
2014-02-20;12:19:00;VIA CAVARO;19;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0
2014-02-20;14:12:00;VIA SONNINO;sn;VIA S.LUCIFERO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-02-20;16:24:00;VIA CADELLO;sn;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-02-20;19:24:00;VIA GHERARDO DELLE NOTTI;sn;VIA LACONI;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-02-21;08:58:00;VIA TUVERI;54;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-02-21;10:46:00;S.S. 195;sn;;Incidente stradale con feriti;Tamponamento;3;3;0;3;0;0;0
2014-02-21;10:50:00;VIA PO;sn;VIALE ELMAS;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-02-21;11:30:00;VIA DANTE;sn;VIA DE GIOANNIS;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0
2014-02-22;12:48:00;VIA PESSAGNO;sn;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0
2014-02-16;18:02:00;VIA TRAMONTANA;sn;;Incidente stradale con feriti;Caduta dal veicolo x imperizia;1;1;1;1;0;0;0
2014-02-22;20:32:00;VIALE DIAZ;sn;PONTE VITTORIO;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0
2014-02-23;18:55:00;VIA LUNGO SALINE;sn;LUNGOMARE POETTO (BRETELLA OSPEDALE MARINO);Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-02-23;21:36:00;ASSE MEDIANO DI SCORRIMENTO;km. 4,200;;Incidente stradale con feriti;Tamponamento;2;1;2;1;0;0;0
2014-02-24;11:19:00;VIA SONNINO;182;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0
2014-02-25;12:08:00;VIA DELL`  ARTIGIANATO;sn;VIA DELL`AGRICOLTURA;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-02-26;14:39:00;VIA GALLINARA;22;;Incidente stradale con feriti;Urto con veicolo in sosta;4;1;0;1;0;0;0
2014-02-27;12:31:00;VIA SONNINO;39;;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0
2014-02-27;16:01:00;VIA IS MIRRIONIS;67;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-27;16:40:00;VIA ALGHERO;64;;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;0;1;0;1;0;0
2014-02-27;17:53:00;VIA SONNINO;218;VIA BACAREDDA;Incidente stradale senza feriti;Frontale / laterale;2;0;1;0;0;0;0
2014-02-28;07:59:00;VIA DEI DONORATICO;sn;VIA CAPULA;Incidente stradale con feriti;Frontale / laterale;3;3;1;1;0;0;0
2014-02-28;16:12:00;VIA BELLAVISTA;58;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0
2014-02-28;18:52:00;VIALE S.AVENDRACE;125;;Incidente stradale con feriti;Frontale / laterale;2;1;1;0;1;0;0
